Cell,HTAN_Biospecimen_ID,subtype
PleuralEffusion_192678068709221,HTA8_2001_1,SCLC-A
RU1229A_Frozen_192186294356916,HTA8_2013_1,SCLC-A
RU1066_196638189436332,HTA8_2003_1,SCLC-A
RU1195A_122378446322598,HTA8_2011_1,SCLC-A
RU1065C_226764298577635,HTA8_2002_1,SCLC-A
RU1065C_196730639018781,HTA8_2002_1,SCLC-A
RU1124A_LN_130143746940198,HTA8_2006_1,SCLC-A
RU1124A_LN_196087347599774,HTA8_2006_1,SCLC-A
RU1065C_196515636668197,HTA8_2002_1,SCLC-A
RU1215_121812496103342,HTA8_2012_1,SCLC-N
RU1080C_236220493511013,HTA8_2004_1,SCLC-A
RU1066_201474323144035,HTA8_2003_1,SCLC-A
RU779D_204359601118134,HTA8_2019_1,SCLC-N
RU1065C_156515920366900,HTA8_2002_1,SCLC-A
RU1229A_Frozen_160361975797595,HTA8_2013_1,SCLC-A
RU1066_227921658268062,HTA8_2003_1,SCLC-A
RU1065C_192739555364133,HTA8_2002_1,SCLC-A
RU1065C_126836649682862,HTA8_2002_1,SCLC-A
RU1065C_239476046784419,HTA8_2002_1,SCLC-A
RU1124A_LN_122298720775412,HTA8_2006_1,SCLC-A
PleuralEffusion_191226665618267,HTA8_2001_1,SCLC-A
RU1195A_134594406767398,HTA8_2011_1,SCLC-A
RU1231A_126278142224684,HTA8_2014_1,SCLC-N
RU1065C_205930473347420,HTA8_2002_1,SCLC-A
RU1195A_195548180076252,HTA8_2011_1,SCLC-A
RU1293A_192667748317491,HTA8_2015_1,SCLC-N
RU1229A_Frozen_205930504567654,HTA8_2013_1,SCLC-A
RU1065C_200982549155179,HTA8_2002_1,SCLC-A
RU1144_LN_196019733879067,HTA8_2007_2,SCLC-A
RU1065C_135573391685494,HTA8_2002_1,SCLC-A
RU1065C_161384146005349,HTA8_2002_1,SCLC-A
RU1145_230807862995683,HTA8_2008_1,SCLC-A
RU1066_235122036262836,HTA8_2003_1,SCLC-A
RU1066_227990511441654,HTA8_2003_1,SCLC-A
RU1066_126680976512805,HTA8_2003_1,SCLC-A
RU1065C_161942523792755,HTA8_2002_1,SCLC-A
RU1195A_235007387487654,HTA8_2011_1,SCLC-A
RU1065C_230746913655644,HTA8_2002_1,SCLC-A
RU1066_235199345879331,HTA8_2003_1,SCLC-A
RU779D_166428450936691,HTA8_2019_1,SCLC-N
RU1195A_239406534289838,HTA8_2011_1,SCLC-A
RU1124A_LN_200992231705891,HTA8_2006_1,SCLC-A
RU1195A_205441786408307,HTA8_2011_1,SCLC-A
RU779D_169150398983075,HTA8_2019_1,SCLC-N
PleuralEffusion_236288407653302,HTA8_2001_1,SCLC-A
RU1145_131242097527605,HTA8_2008_1,SCLC-A
RU1065C_125050586810102,HTA8_2002_1,SCLC-A
PleuralEffusion_191096761768347,HTA8_2001_1,SCLC-A
RU779D_191140631268661,HTA8_2019_1,SCLC-N
RU1124A_LN_121405248264092,HTA8_2006_1,SCLC-A
RU1080C_121869136160558,HTA8_2004_1,SCLC-A
RU1144_LN_169572513494942,HTA8_2007_2,SCLC-A
RU1124A_LN_227517783788403,HTA8_2006_1,SCLC-A
PleuralEffusion_235007386996139,HTA8_2001_1,SCLC-A
RU1152_226821206392053,HTA8_2009_1,SCLC-A
RU1195A_160905376746412,HTA8_2011_1,SCLC-A
RU1065C_125168027318686,HTA8_2002_1,SCLC-A
RU1231A_169793570158454,HTA8_2014_1,SCLC-N
